AtcoCode,PlateCode,CommonName_lang_en,ShortCommonName_lang_en,Street_lang_en,ShortCommonName_lang_ga,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Indicator_lang_en,NptgLocalityRef,NaptanCode,county,region,electoral_district_id,electoral_district
8230DB007139,7139.0,Rossberry Avenue,Rossberry Avenue,Griffeen Avenue,Ascaill Ros Beirigh,False,ITM,704069.0,733254.0,-6.437294575,53.33927451,BCT,MKD,OTH,E,823G001339,823,,E0823011,,South Dublin,Dublin,03015,Lucan-Esker
8230DB007140,7140.0,Griffeen Avenue,Griffeen Avenue,Griffeen Avenue,Ascaill an Ghrífín,False,ITM,704063.0,733249.0,-6.437386277000001,53.33923077,BCT,MKD,OTH,W,823G001340,823,opp,E0823025,,South Dublin,Dublin,03015,Lucan-Esker
8230DB007141,7141.0,Haydens Park,Haydens Park,Griffeen Avenue,Páirc Uí Éideáin,False,ITM,703830.0,733295.0,-6.440868516,53.33968977,BCT,MKD,OTH,NW,823G001341,823,opp,E0823011,,South Dublin,Dublin,03015,Lucan-Esker
8230DB007137,7137.0,Griffeen Avenue,Griffeen Avenue,Griffeen Avenue,Ascaill an Ghrífín,False,ITM,703643.0,733400.0,-6.4436410560000015,53.34066970000001,BCT,MKD,OTH,SE,823G001342,823,opp,E0823011,,South Dublin,Dublin,03015,Lucan-Esker
8230DB007122,7122.0,Tallaght Stadium,Tallaght Stadium,Whitestown Way,Staidiam Thamhlachta,False,ITM,708368.0,727043.0,-6.374889382,53.28261624,BCT,MKD,OTH,S,823G001343,823,,E0823018,,South Dublin,Dublin,03038,Tallaght-Oldbawn
8230DB007123,7123.0,Tallaght Stadium,Tallaght Stadium,Whitestown Way,Staidiam Thamhlachta,False,ITM,708342.0,727118.0,-6.37525355,53.2832953,BCT,MKD,OTH,N,823G001343,823,opp,E0823018,,South Dublin,Dublin,03038,Tallaght-Oldbawn
8230DB004444,4444.0,Allenton Estate,,Bohernabreena Road,,False,ITM,709682.0,726109.0,-6.355515359,53.27395573,BCT,MKD,OTH,NE,823G001403,823,opp,E0823029,,South Dublin,Dublin,03003,Bohernabreena
8230DB002525,2525.0,Allenton Estate,,Bohernabreena Road,,False,ITM,709780.0,726192.0,-6.35401804,53.27468108,BCT,MKD,OTH,SW,823G001403,823,,E0823029,,South Dublin,Dublin,03003,Bohernabreena
8230DB002633,2633.0,Airton Road,Airton Road,Greenhills Road,Bóthar Airton,False,ITM,709620.0,728349.0,-6.3556720260000015,53.29409118,BCT,MKD,OTH,N,823G001404,823,,E0823009,,South Dublin,Dublin,03036,Tallaght-Kingswood
8230DB004446,4446.0,Airton Road,Airton Road,Greenhills Road,Bóthar Airton,False,ITM,709631.0,728339.0,-6.355510548,53.29399907,BCT,MKD,OTH,S,823G001404,823,,E0823009,,South Dublin,Dublin,03040,Tallaght-Tymon
8230DB004440,4440.0,Brookview Road,Brookview Road,Brookfield Road,Radharc an tSrutháin,False,ITM,706215.0,727419.0,-6.407036795,53.28642955,BCT,MKD,OTH,NE,823G001405,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB004435,4435.0,Tallaght Village,Tallaght Village,,Srbhl Thamhlachta,False,ITM,709105.0,727758.0,-6.3635966439999985,53.28888825,BCT,MKD,OTH,SE,823G001406,823,,E0823018,,South Dublin,Dublin,03036,Tallaght-Kingswood
8230DB002557,2557.0,Tallaght Village,Tallaght Village,,Srbhl Thamhlachta,False,ITM,709127.0,727716.0,-6.363281249,53.28850642,BCT,MKD,OTH,NW,823G001406,823,,E0823018,,South Dublin,Dublin,03036,Tallaght-Kingswood
8230DB004436,4436.0,ITT Tallaght,ITT Tallaght,Blessington Road,IT Thamhlachta,False,ITM,708880.0,727781.0,-6.366961906,53.28914111,BCT,MKD,OTH,SW,823G001407,823,,E0823018,,South Dublin,Dublin,03036,Tallaght-Kingswood
8230DB004438,4438.0,Lake Drive,Lake Drive,Kingswood Avenue,Céide an Locha,False,ITM,705153.0,728155.0,-6.42271397,53.29325311,BCT,MKD,OTH,SW,823G001408,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB005022,5022.0,Lake Drive,Lake Drive,Kingswood Avenue,Céide an Locha,False,ITM,705144.0,728169.0,-6.422844279,53.29338066,BCT,MKD,OTH,NE,823G001408,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB004439,4439.0,Parkhill Way,,Treepark Road,,False,ITM,709063.0,729102.0,-6.363764855,53.3009705,BCT,MKD,OTH,SE,823G001409,823,opp,E0823004,,South Dublin,Dublin,03034,Tallaght-Kilnamanagh
