Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
5210,30/09/2010,"12 Inbhir Ide, Malahide",,Dublin,330000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5229,30/09/2010,"5 Waterside Park, Swords Road, Malahide",,Dublin,35000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5288,04/10/2010,"100 Galtrim Grange, Malahide, Co Dublin",,Dublin,356828.19,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
5357,07/10/2010,"238 Malahide Marina Village, Malahide",,Dublin,220000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5556,15/10/2010,"45 Abington, Malahide",,Dublin,1363636.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
5567,15/10/2010,"7 Lissadel Park, Malahide",,Dublin,340000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5630,20/10/2010,"5 Waterside Walk, Malahide, Co. Dublin",,Dublin,290000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5643,21/10/2010,"24  Inbhir Ide Close, Malahide",,Dublin,360000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5716,22/10/2010,"90 Ard Na Mara, Malahide",,Dublin,930000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5729,26/10/2010,"13 Gainsborough Close, Malahide",,Dublin,445000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5748,27/10/2010,"20 Waterside Crescent, Swords Road, Malahide",,Dublin,440000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5803,29/10/2010,"110 Gaybrook Lawns, Malahide",,Dublin,630000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5818,29/10/2010,"28 Estuary Road, Malahide",,Dublin,344000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5837,29/10/2010,"89A Ard Na Mara, Malahide",,Dublin,410000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
5843,01/11/2010,"13 Tulla House, Clare Village, Malahide Road",,Dublin,134950.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
5928,05/11/2010,"29 Tulla House, Clare Village, Malahide Road",Dublin 13,Dublin,189950.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
6155,18/11/2010,"6 Galtrim Grange, Broomfield, Malahide",,Dublin,150000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
6279,26/11/2010,"40 Dunree Park, Malahide Road, Dublin 15",Dublin 15,Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6398,03/12/2010,"95 Galtrim Grange, Malahide",,Dublin,260000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
6472,08/12/2010,"18 Gainsborough Green, Malahide",,Dublin,396000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6475,08/12/2010,"2 St Margaret'S Park, Malahide",,Dublin,700000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6507,09/12/2010,"57 Sonesta, Malahide",,Dublin,465000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6514,10/12/2010,"1 Heeleys View, The Mall, Malahide",,Dublin,352422.91,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
6518,10/12/2010,"13 Heeleys View, The Mall, Malahide",,Dublin,352422.9,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
6690,17/12/2010,"10 Railway Court, Malahide",,Dublin,190000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6798,20/12/2010,"Apt 36 Malahide Marina Village, Malahide",,Dublin,150000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6830,21/12/2010,"38 Killeen Avenue, Malahide",,Dublin,375000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6922,23/12/2010,"7 Chalfont Avenue, Malahide",,Dublin,575000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6992,10/01/2011,"16 Seabury Place, Malahide",,Dublin,370000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
6999,11/01/2011,"15 Seaqury Gardens, Malahide",,Dublin,372500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7081,19/01/2011,"15 Burnell Green, Northern Cross, Malahide Road",Dublin 17,Dublin,140044.05,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
7087,19/01/2011,"40 Burnell Green, Northern Cross, Malahide Road",Dublin 17,Dublin,136563.88,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
7088,19/01/2011,"59 Burnell Green, Northern Cross, Malahide Road",Dublin 17,Dublin,189096.92,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
7089,19/01/2011,"62 Burnell Green, Northern Cross, Malahide Road",Dublin 17,Dublin,187224.67,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
7091,19/01/2011,"67 Burnell Green, Northern Cross, Malahide Road",Dublin 17,Dublin,194713.66,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
7093,19/01/2011,"Montserrat, Texas Lane, Malahide",,Dublin,660000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7113,21/01/2011,"18 Ard Na Mara, Malahide",,Dublin,815000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7177,26/01/2011,"33 Inbhir Ide, Malahide",,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7239,31/01/2011,"104 Galtim Grange, Broomfield, Malahide",,Dublin,85000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
7254,31/01/2011,"Streamstown, Malahide",,Dublin,1225000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
7301,04/02/2011,"25 Seamount Abbey, Malahide",,Dublin,487000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
7351,09/02/2011,"18 Galtrim Grange, Malahide, Co Dublin",,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7355,09/02/2011,"6 Seabury Green, Malahide",,Dublin,385000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7409,14/02/2011,"18 Parnell Cottages, Malahide",,Dublin,366300.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7453,17/02/2011,"118 Biscayne, Malahide",,Dublin,545000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7462,17/02/2011,"64  Galtrim Grange, Malahide",,Dublin,193832.6,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
7483,18/02/2011,"328 Malahide Marina, Malahide",,Dublin,337500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7489,18/02/2011,"6 Old Estuary Mill, Malahide",,Dublin,546256.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
7516,22/02/2011,"20 Auburn Grove, Malahide, County Dublin",,Dublin,950000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7537,23/02/2011,"55 Newtown Court, Belcamp Lane, Malahide Road",Dublin 17,Dublin,79000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7548,24/02/2011,"22 Gainsborough Court, Malahide",,Dublin,420000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7574,25/02/2011,"26 Orchard Way Greenwood Walk, Ayrefield Malahide Road  D13",,Dublin,120000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7664,04/03/2011,"35 Gainsborough Avenue, Malahide",,Dublin,440000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7697,08/03/2011,"190 Malahide Marina Village, Malahide",,Dublin,211000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7796,14/03/2011,"Apt. 63 The Crescent, Robswall, Malahide",,Dublin,165000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
7858,21/03/2011,"35 The Bawn, Malahide, County Dublin",,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8017,01/04/2011,"12 Seabury View, Malahide",,Dublin,372500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8177,15/04/2011,"30 Seapark, Malahide",,Dublin,580000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8194,15/04/2011,"Santa Maria B, Seamount Road, Malahide",,Dublin,815000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8251,20/04/2011,"6  Greenwood Ave, Blunden Drive, Malahide Road",Dublin 13,Dublin,255000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8383,04/05/2011,"217 Malahide Marina, Malahide",,Dublin,305000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8536,13/05/2011,"8 Malahide Marina Village, Malahide",,Dublin,440000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8570,18/05/2011,"26 Seabury Place, Malahide",,Dublin,352000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8607,20/05/2011,"18 Seabury Woods, Malahide",,Dublin,300000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8688,26/05/2011,"102 Galtrim Grange, Broomfield, Malahide",,Dublin,193832.6,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
8711,26/05/2011,"88 Galtrim Grange, Broomfield, Malahide",,Dublin,140969.17,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
8739,27/05/2011,"344 Malahide Marina Village, Malahide",,Dublin,345000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
8769,30/05/2011,"28 Seabury Wood, Malahide",,Dublin,290000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
