Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
125073,27/08/2019,"37 Deekpark Place Kiltipper Rd, Tallaght Dublin 2, Dublin",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125078,27/08/2019,"43D Allen Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125173,28/08/2019,"Apt 26 Aengus Hall, Belgard Sq East, Tallaght Dublin 24",Dublin 24,Dublin,230000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125217,29/08/2019,"3 Alderwood Way, Springfield, Tallaght",Dublin 24,Dublin,238000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125421,02/09/2019,"39 De Selby Dr, Tallaght, Dublin 24",Dublin 24,Dublin,260000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125451,03/09/2019,"10 Carrigmore Grove, Aylesbury, Tallaght",,Dublin,282500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125463,03/09/2019,"165 New Seskin Court, Whitestown Way, Tallaght Dublin 24",Dublin 24,Dublin,197000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125481,03/09/2019,"32 Tymon Farm, Tymon Lane, Tallaght Dublin 24",Dublin 24,Dublin,212000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125557,04/09/2019,"44 Ellenborough Close, Kiltipper Road, Tallaght",,Dublin,360000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125614,05/09/2019,"19 Hunter Hall, Hunterswood, Tallaght Dublin 24",Dublin 24,Dublin,350000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125642,05/09/2019,"5 Avonbeg Dr, Tallaght, Dublin 24",Dublin 24,Dublin,245000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125665,05/09/2019,"8 Bawnville Dr, Tallaght, Dublin",Dublin 24,Dublin,318000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125721,06/09/2019,"31 Alderwood Green, Tallaght, Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125808,09/09/2019,"32 Sundale Park, Tallaght, Dublin 24",Dublin 24,Dublin,225000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125845,10/09/2019,"13 Dun An Oir, Old Bawn, Tallaght",Dublin 24,Dublin,328000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
